Networks,ROI Name
Cognitive,17Networks_LH_ContA_PFCl_1
Cognitive,17Networks_LH_ContA_PFCl_2
Cognitive,17Networks_LH_ContA_PFCl_3
Cognitive,17Networks_LH_ContA_Cingm_1
Cognitive,17Networks_LH_ContB_Temp_1
Cognitive,17Networks_LH_ContB_Temp_2
Cognitive,17Networks_LH_ContB_IPL_1
Cognitive,17Networks_LH_ContB_IPL_2
Cognitive,17Networks_LH_ContB_IPL_3
Cognitive,17Networks_LH_ContB_PFCd_1
Cognitive,17Networks_LH_ContB_PFClv_1
Cognitive,17Networks_LH_ContB_PFClv_2
Cognitive,17Networks_LH_ContB_PFClv_3
Cognitive,17Networks_LH_ContB_PFCmp_1
Cognitive,17Networks_LH_ContC_pCun_1
Cognitive,17Networks_LH_ContC_pCun_2
Cognitive,17Networks_LH_ContC_pCun_3
Cognitive,17Networks_LH_ContC_Cingp_1
Cognitive,17Networks_LH_ContC_Cingp_2
IPL,17Networks_LH_DefaultA_IPL_1
IPL,17Networks_LH_DefaultA_IPL_2
Dorsal_pFC,17Networks_LH_DefaultA_PFCd_1
Dorsal_pFC,17Networks_LH_DefaultA_PFCd_2
Dorsal_pFC,17Networks_LH_DefaultA_PFCd_3
pCun_PCC,17Networks_LH_DefaultA_pCunPCC_1
pCun_PCC,17Networks_LH_DefaultA_pCunPCC_2
pCun_PCC,17Networks_LH_DefaultA_pCunPCC_3
pCun_PCC,17Networks_LH_DefaultA_pCunPCC_4
pCun_PCC,17Networks_LH_DefaultA_pCunPCC_5
pCun_PCC,17Networks_LH_DefaultA_pCunPCC_6
pCun_PCC,17Networks_LH_DefaultA_pCunPCC_7
Medial_pFC,17Networks_LH_DefaultA_PFCm_1
Medial_pFC,17Networks_LH_DefaultA_PFCm_2
Medial_pFC,17Networks_LH_DefaultA_PFCm_3
Medial_pFC,17Networks_LH_DefaultA_PFCm_4
Medial_pFC,17Networks_LH_DefaultA_PFCm_5
Medial_pFC,17Networks_LH_DefaultA_PFCm_6
Temp,17Networks_LH_DefaultB_Temp_1
Temp,17Networks_LH_DefaultB_Temp_2
Temp,17Networks_LH_DefaultB_Temp_3
Temp,17Networks_LH_DefaultB_Temp_4
Temp,17Networks_LH_DefaultB_Temp_5
Temp,17Networks_LH_DefaultB_Temp_6
IPL,17Networks_LH_DefaultB_IPL_1
IPL,17Networks_LH_DefaultB_IPL_2
Dorsal_pFC,17Networks_LH_DefaultB_PFCd_1
Dorsal_pFC,17Networks_LH_DefaultB_PFCd_2
Dorsal_pFC,17Networks_LH_DefaultB_PFCd_3
Dorsal_pFC,17Networks_LH_DefaultB_PFCd_4
Dorsal_pFC,17Networks_LH_DefaultB_PFCd_5
Dorsal_pFC,17Networks_LH_DefaultB_PFCd_6
LatVent_pFC,17Networks_LH_DefaultB_PFCl_1
LatVent_pFC,17Networks_LH_DefaultB_PFCl_2
LatVent_pFC,17Networks_LH_DefaultB_PFCv_1
LatVent_pFC,17Networks_LH_DefaultB_PFCv_2
LatVent_pFC,17Networks_LH_DefaultB_PFCv_3
LatVent_pFC,17Networks_LH_DefaultB_PFCv_4
LatVent_pFC,17Networks_LH_DefaultB_PFCv_5
IPL,17Networks_LH_DefaultC_IPL_1
RSP,17Networks_LH_DefaultC_Rsp_1
RSP,17Networks_LH_DefaultC_Rsp_2
RSP,17Networks_LH_DefaultC_Rsp_3
Para_Hippo,17Networks_LH_DefaultC_PHC_1
Para_Hippo,17Networks_LH_DefaultC_PHC_2
Para_Hippo,17Networks_LH_DefaultC_PHC_3
Temp_Parietal,17Networks_LH_TempPar_1
Temp_Parietal,17Networks_LH_TempPar_2
Temp_Parietal,17Networks_LH_TempPar_3
Temp_Parietal,17Networks_LH_TempPar_4
Temp_Parietal,17Networks_LH_TempPar_5
Temp_Parietal,17Networks_LH_TempPar_6
Visual,17Networks_RH_VisCent_ExStr_1
Visual,17Networks_RH_VisCent_ExStr_2
Visual,17Networks_RH_VisCent_ExStr_3
Visual,17Networks_RH_VisCent_ExStr_4
Visual,17Networks_RH_VisCent_ExStr_5
Visual,17Networks_RH_VisCent_ExStr_6
Visual,17Networks_RH_VisCent_Striate_1
Visual,17Networks_RH_VisCent_ExStr_7
Visual,17Networks_RH_VisCent_ExStr_8
Visual,17Networks_RH_VisCent_ExStr_9
Visual,17Networks_RH_VisCent_ExStr_10
Visual,17Networks_RH_VisCent_ExStr_11
Visual,17Networks_RH_VisPeri_ExStrInf_1
Visual,17Networks_RH_VisPeri_ExStrInf_2
Visual,17Networks_RH_VisPeri_ExStrInf_3
Visual,17Networks_RH_VisPeri_ExStrInf_4
Visual,17Networks_RH_VisPeri_ExStrInf_5
Visual,17Networks_RH_VisPeri_StriCal_1
Visual,17Networks_RH_VisPeri_StriCal_2
Visual,17Networks_RH_VisPeri_ExStrSup_1
Visual,17Networks_RH_VisPeri_ExStrSup_2
Visual,17Networks_RH_VisPeri_ExStrSup_3
Visual,17Networks_RH_VisPeri_ExStrSup_4
Somato-Motor,17Networks_RH_SomMotA_1
Somato-Motor,17Networks_RH_SomMotA_2
Somato-Motor,17Networks_RH_SomMotA_3
Somato-Motor,17Networks_RH_SomMotA_4
Somato-Motor,17Networks_RH_SomMotA_5
Somato-Motor,17Networks_RH_SomMotA_6
Somato-Motor,17Networks_RH_SomMotA_7
Somato-Motor,17Networks_RH_SomMotA_8
Somato-Motor,17Networks_RH_SomMotA_9
Somato-Motor,17Networks_RH_SomMotA_10
Somato-Motor,17Networks_RH_SomMotA_11
Somato-Motor,17Networks_RH_SomMotA_12
Somato-Motor,17Networks_RH_SomMotA_13
Somato-Motor,17Networks_RH_SomMotA_14
Somato-Motor,17Networks_RH_SomMotA_15
Somato-Motor,17Networks_RH_SomMotA_16
Somato-Motor,17Networks_RH_SomMotA_17
Somato-Motor,17Networks_RH_SomMotA_18
Somato-Motor,17Networks_RH_SomMotA_19
Somato-Motor,17Networks_RH_SomMotA_20
Somato-Motor,17Networks_RH_SomMotB_Aud_1
Somato-Motor,17Networks_RH_SomMotB_Aud_2
Somato-Motor,17Networks_RH_SomMotB_Ins_1
Somato-Motor,17Networks_RH_SomMotB_S2_1
Somato-Motor,17Networks_RH_SomMotB_S2_2
Somato-Motor,17Networks_RH_SomMotB_Aud_3
Somato-Motor,17Networks_RH_SomMotB_S2_3
Somato-Motor,17Networks_RH_SomMotB_S2_4
Somato-Motor,17Networks_RH_SomMotB_S2_5
Somato-Motor,17Networks_RH_SomMotB_S2_6
Somato-Motor,17Networks_RH_SomMotB_S2_7
Somato-Motor,17Networks_RH_SomMotB_S2_8
Somato-Motor,17Networks_RH_SomMotB_Cent_1
Somato-Motor,17Networks_RH_SomMotB_Cent_2
Somato-Motor,17Networks_RH_SomMotB_Cent_3
Dors-Atten,17Networks_RH_DorsAttnA_TempOcc_1
Dors-Atten,17Networks_RH_DorsAttnA_TempOcc_2
Dors-Atten,17Networks_RH_DorsAttnA_TempOcc_3
Dors-Atten,17Networks_RH_DorsAttnA_ParOcc_1
Dors-Atten,17Networks_RH_DorsAttnA_ParOcc_2
Dors-Atten,17Networks_RH_DorsAttnA_ParOcc_3
Dors-Atten,17Networks_RH_DorsAttnA_SPL_1
Dors-Atten,17Networks_RH_DorsAttnA_SPL_2
Dors-Atten,17Networks_RH_DorsAttnA_SPL_3
Dors-Atten,17Networks_RH_DorsAttnA_SPL_4
Dors-Atten,17Networks_RH_DorsAttnA_SPL_5
Dors-Atten,17Networks_RH_DorsAttnA_SPL_6
Dors-Atten,17Networks_RH_DorsAttnA_SPL_7
Dors-Atten,17Networks_RH_DorsAttnA_SPL_8
Dors-Atten,17Networks_RH_DorsAttnB_TempOcc_1
Dors-Atten,17Networks_RH_DorsAttnB_PostC_1
Dors-Atten,17Networks_RH_DorsAttnB_PostC_2
Dors-Atten,17Networks_RH_DorsAttnB_PostC_3
Dors-Atten,17Networks_RH_DorsAttnB_PostC_4
Dors-Atten,17Networks_RH_DorsAttnB_PostC_5
Dors-Atten,17Networks_RH_DorsAttnB_PostC_6
Dors-Atten,17Networks_RH_DorsAttnB_PostC_7
Dors-Atten,17Networks_RH_DorsAttnB_PostC_8
Dors-Atten,17Networks_RH_DorsAttnB_FEF_1
Dors-Atten,17Networks_RH_DorsAttnB_FEF_2
Dors-Atten,17Networks_RH_DorsAttnB_FEF_3
SalVentAtten,17Networks_RH_SalVentAttnA_ParOper_1
SalVentAtten,17Networks_RH_SalVentAttnA_ParOper_2
SalVentAtten,17Networks_RH_SalVentAttnA_ParOper_3
SalVentAtten,17Networks_RH_SalVentAttnA_PrC_1
SalVentAtten,17Networks_RH_SalVentAttnA_Ins_1
SalVentAtten,17Networks_RH_SalVentAttnA_Ins_2
SalVentAtten,17Networks_RH_SalVentAttnA_Ins_3
SalVentAtten,17Networks_RH_SalVentAttnA_Ins_4
SalVentAtten,17Networks_RH_SalVentAttnA_FrOper_1
SalVentAtten,17Networks_RH_SalVentAttnA_FrOper_2
SalVentAtten,17Networks_RH_SalVentAttnA_FrOper_3
SalVentAtten,17Networks_RH_SalVentAttnA_FrMed_1
SalVentAtten,17Networks_RH_SalVentAttnA_ParMed_1
SalVentAtten,17Networks_RH_SalVentAttnA_ParMed_2
SalVentAtten,17Networks_RH_SalVentAttnA_FrMed_2
SalVentAtten,17Networks_RH_SalVentAttnA_ParMed_3
SalVentAtten,17Networks_RH_SalVentAttnA_ParMed_4
SalVentAtten,17Networks_RH_SalVentAttnA_FrMed_3
SalVentAtten,17Networks_RH_SalVentAttnA_FrMed_4
SalVentAtten,17Networks_RH_SalVentAttnB_IPL_1
SalVentAtten,17Networks_RH_SalVentAttnB_PFClv_1
SalVentAtten,17Networks_RH_SalVentAttnB_PFCl_1
SalVentAtten,17Networks_RH_SalVentAttnB_PFCl_2
SalVentAtten,17Networks_RH_SalVentAttnB_PFCl_3
SalVentAtten,17Networks_RH_SalVentAttnB_Ins_1
SalVentAtten,17Networks_RH_SalVentAttnB_Ins_2
SalVentAtten,17Networks_RH_SalVentAttnB_PFCmp_1
SalVentAtten,17Networks_RH_SalVentAttnB_PFCmp_2
Limbic,17Networks_RH_LimbicB_OFC_1
Limbic,17Networks_RH_LimbicB_OFC_2
Limbic,17Networks_RH_LimbicB_OFC_3
Limbic,17Networks_RH_LimbicB_OFC_4
Limbic,17Networks_RH_LimbicB_OFC_5
Limbic,17Networks_RH_LimbicB_OFC_6
Limbic,17Networks_RH_LimbicA_TempPole_1
Limbic,17Networks_RH_LimbicA_TempPole_2
Limbic,17Networks_RH_LimbicA_TempPole_3
Limbic,17Networks_RH_LimbicA_TempPole_4
Limbic,17Networks_RH_LimbicA_TempPole_5
Limbic,17Networks_RH_LimbicA_TempPole_6
Cognitive,17Networks_RH_ContA_IPS_1
Cognitive,17Networks_RH_ContA_IPS_2
Cognitive,17Networks_RH_ContA_IPS_3
Cognitive,17Networks_RH_ContA_IPS_4
Cognitive,17Networks_RH_ContA_PFCd_1
Cognitive,17Networks_RH_ContA_PFCl_1
Cognitive,17Networks_RH_ContA_PFCl_2
Cognitive,17Networks_RH_ContA_PFCl_3
Cognitive,17Networks_RH_ContA_PFCl_4
Cognitive,17Networks_RH_ContA_PFCl_5
Cognitive,17Networks_RH_ContA_Cingm_1
Cognitive,17Networks_RH_ContB_Temp_1
Cognitive,17Networks_RH_ContB_Temp_2
Cognitive,17Networks_RH_ContB_IPL_1
Cognitive,17Networks_RH_ContB_IPL_2
Cognitive,17Networks_RH_ContB_IPL_3
Cognitive,17Networks_RH_ContB_IPL_4
Cognitive,17Networks_RH_ContB_PFCld_1
Cognitive,17Networks_RH_ContB_PFCld_2
Cognitive,17Networks_RH_ContB_PFCld_3
Cognitive,17Networks_RH_ContB_PFCld_4
Cognitive,17Networks_RH_ContB_PFClv_1
Cognitive,17Networks_RH_ContB_PFClv_2
Cognitive,17Networks_RH_ContB_PFClv_3
Cognitive,17Networks_RH_ContB_PFClv_4
Cognitive,17Networks_RH_ContB_PFCmp_1
Cognitive,17Networks_RH_ContC_pCun_1
Cognitive,17Networks_RH_ContC_pCun_2
Cognitive,17Networks_RH_ContC_pCun_3
Cognitive,17Networks_RH_ContC_pCun_4
Cognitive,17Networks_RH_ContC_pCun_5
Cognitive,17Networks_RH_ContC_Cingp_1
Cognitive,17Networks_RH_ContC_Cingp_2
Temp,17Networks_RH_DefaultA_Temp_1
IPL,17Networks_RH_DefaultA_IPL_1
IPL,17Networks_RH_DefaultA_IPL_2
Dorsal_pFC,17Networks_RH_DefaultA_PFCd_1
Dorsal_pFC,17Networks_RH_DefaultA_PFCd_2
pCun_PCC,17Networks_RH_DefaultA_pCunPCC_1
pCun_PCC,17Networks_RH_DefaultA_pCunPCC_2
pCun_PCC,17Networks_RH_DefaultA_pCunPCC_3
pCun_PCC,17Networks_RH_DefaultA_pCunPCC_4
pCun_PCC,17Networks_RH_DefaultA_pCunPCC_5
Medial_pFC,17Networks_RH_DefaultA_PFCm_1
Medial_pFC,17Networks_RH_DefaultA_PFCm_2
Medial_pFC,17Networks_RH_DefaultA_PFCm_3
Medial_pFC,17Networks_RH_DefaultA_PFCm_4
Medial_pFC,17Networks_RH_DefaultA_PFCm_5
Medial_pFC,17Networks_RH_DefaultA_PFCm_6
Temp,17Networks_RH_DefaultB_Temp_1
Temp,17Networks_RH_DefaultB_Temp_2
Temp,17Networks_RH_DefaultB_AntTemp_1
Dorsal_pFC,17Networks_RH_DefaultB_PFCd_1
Dorsal_pFC,17Networks_RH_DefaultB_PFCd_2
Dorsal_pFC,17Networks_RH_DefaultB_PFCd_3
Dorsal_pFC,17Networks_RH_DefaultB_PFCd_4
Dorsal_pFC,17Networks_RH_DefaultB_PFCd_5
LatVent_pFC,17Networks_RH_DefaultB_PFCv_1
LatVent_pFC,17Networks_RH_DefaultB_PFCv_2
LatVent_pFC,17Networks_RH_DefaultB_PFCv_3
IPL,17Networks_RH_DefaultC_IPL_1
IPL,17Networks_RH_DefaultC_IPL_2
RSP,17Networks_RH_DefaultC_Rsp_1
RSP,17Networks_RH_DefaultC_Rsp_2
Para_Hippo,17Networks_RH_DefaultC_PHC_1
Para_Hippo,17Networks_RH_DefaultC_PHC_2
Temp_Parietal,17Networks_RH_TempPar_1
Temp_Parietal,17Networks_RH_TempPar_2
Temp_Parietal,17Networks_RH_TempPar_3
Temp_Parietal,17Networks_RH_TempPar_4
Temp_Parietal,17Networks_RH_TempPar_5
Temp_Parietal,17Networks_RH_TempPar_6
Temp_Parietal,17Networks_RH_TempPar_7
Temp_Parietal,17Networks_RH_TempPar_8
Temp_Parietal,17Networks_RH_TempPar_9
Temp_Parietal,17Networks_RH_TempPar_10
Subcortex,HIP-head-m1-rh
Subcortex,HIP-head-m2-rh
Subcortex,THA-VAip-rh
Subcortex,THA-VAia-rh
Subcortex,HIP-head-l-rh
Subcortex,HIP-body-rh
Subcortex,HIP-tail-rh
Subcortex,THA-VPm-rh
Subcortex,THA-VPl-rh
Subcortex,THA-VAs-rh
Subcortex,THA-DAm-rh
Subcortex,THA-DAl-rh
Subcortex,PUT-VA-rh
Subcortex,PUT-DA-rh
Subcortex,PUT-VP-rh
Subcortex,PUT-DP-rh
Subcortex,CAU-VA-rh
Subcortex,CAU-DA-rh
Subcortex,CAU-body-rh
Subcortex,CAU-tail-rh
Subcortex,lAMY-rh
Subcortex,mAMY-rh
Subcortex,THA-DP-rh
Subcortex,NAc-shell-rh
Subcortex,NAc-core-rh
Subcortex,pGP-rh
Subcortex,aGP-rh
Subcortex,HIP-head-m1-lh
Subcortex,HIP-head-m2-lh
Subcortex,THA-VAip-lh
Subcortex,THA-VAia-lh
Subcortex,HIP-head-l-lh
Subcortex,HIP-body-lh
Subcortex,HIP-tail-lh
Subcortex,THA-VPm-lh
Subcortex,THA-VPl-lh
Subcortex,THA-VAs-lh
Subcortex,THA-DAm-lh
Subcortex,THA-DAl-lh
Subcortex,PUT-VA-lh
Subcortex,PUT-DA-lh
Subcortex,PUT-VP-lh
Subcortex,PUT-DP-lh
Subcortex,CAU-VA-lh
Subcortex,CAU-DA-lh
Subcortex,CAU-body-lh
Subcortex,CAU-tail-lh
Subcortex,lAMY-lh
Subcortex,mAMY-lh
Subcortex,THA-DP-lh
Subcortex,NAc-shell-lh
Subcortex,NAc-core-lh
Subcortex,pGP-lh
Subcortex,aGP-lh
Cerebellum,Left_I_IV
Cerebellum,Right_I_IV
Cerebellum,Left_V
Cerebellum,Right_V
Cerebellum,Left_VI
Cerebellum,Vermis_VI
Cerebellum,Right_VI
Cerebellum,Left_CrusI
Cerebellum,Vermis_CrusI
Cerebellum,Right_CrusI
Cerebellum,Left_CrusII
Cerebellum,Vermis_CrusII
Cerebellum,Right_CrusII
Cerebellum,Left_VIIb
Cerebellum,Vermis_VIIb
Cerebellum,Right_VIIb
Cerebellum,Left_VIIIa
Cerebellum,Vermis_VIIIa
Cerebellum,Right_VIIIa
Cerebellum,Left_VIIIb
Cerebellum,Vermis_VIIIb
Cerebellum,Right_VIIIb
Cerebellum,Left_IX
Cerebellum,Vermis_IX
Cerebellum,Right_IX
Cerebellum,Left_X
Cerebellum,Vermis_X
Cerebellum,Right_X
AAS,L_dorsal_raphe
AAS,R_dorsal_raphe
AAS,L_locus_coeruleus
AAS,R_locus_coeruleus
AAS,L_vta
AAS,R_vta
AAS,L_ppn
AAS,R_ppn
AAS,L_nbm
AAS,R_nbm
AAS,L_po
AAS,R_po
AAS,L_pag
AAS,R_pag
AAS,left_hypothalamus
AAS,right_hypothalamus
AAS,left_stn
AAS,right_stn
AAS,left_rednucleus
AAS,right_rednucleus
